"","id","age","IDN","Naples","Rome","Kenya","Philippines","Thailand","Sweden","US_AA","US_H","Colombia","Jordan","male","max_parental_ed","JDM","IDM","MatWarmth","PatWarmth","CE_2","CE_3"
"1",1,15.1066928693961,"Italy-Naples",1,0,0,0,0,0,0,0,0,0,"not male",11.5503975280152,1.04603407713958,0.271968689259016,3.45896324652696,2.61902936063122,1.30791657733799,1.86622495120927
"2",2,15.403300614444,"Italy-Naples",0,1,0,0,0,0,0,0,0,0,"not male",12.9409527692754,0.639959367348392,0.320803475396914,3.48660311946239,2.24787683995188,2.45099046141282,1.17573679608656
"3",3,17.0097200661059,"Italy-Naples",0,0,1,0,0,0,0,0,0,0,"not male",20.4721620025678,0.443779522757606,0.378756608620338,4.24098663352502,3.62004175360604,3.25988172357333,2.79606478140386
"4",4,15.6733165354993,"Italy-Naples",0,0,0,1,0,0,0,0,0,0,"not male",14.2068403278975,0.639889901850497,0.360172117853293,3.28567679313312,3.70618183271901,2.26972796692723,1.63254266388589
"5",5,15.7261003861745,"Italy-Naples",0,0,0,0,1,0,0,0,0,0,"not male",14.4543013650276,1.73573091796831,-0.145457289068855,3.39029364953906,2.80080092311526,2.22392998289683,1.79575647138485
"6",6,17.1501283582212,"Italy-Naples",0,0,0,0,0,1,0,0,0,0,"not male",21.1304235947786,0.951287033499674,0.207284495126776,3.94652967220691,3.80348638065264,2.75833285962653,3.5629772117565
"7",7,16.0239027529783,"Italy-Naples",0,0,0,0,0,0,1,0,0,0,"not male",15.8504572272145,0.626803818880509,0.366495964855678,3.49619303449395,3.26849234067253,2.6261320531569,1.89850136669302
"8",8,14.4739750113233,"Italy-Naples",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"not male",8.58409220230649,1.20823856216302,0.122553175134001,3.88184561838188,4.64220660979951,1.24318334253782,0.408779436877216
"9",9,14.9932061389996,"Italy-Naples",0,0,0,0,0,0,0,1,0,0,"not male",11.0183494935283,1.15302642368003,0.0434088814407146,4.1432064085237,3.75111247287885,1.98240641096811,0.604382302701334
"10",10,15.2097955508502,"Italy-Naples",0,0,0,0,0,0,0,0,1,0,"not male",12.0337631058792,1.34008316607805,-0.0133447348818084,4.23997900868108,3.91656940254361,1.87970401314466,1.04736510683923
"11",11,16.7092254541006,"Italy-Naples",0,0,0,0,0,0,0,0,0,1,"not male",19.0633843672201,0.979886244062912,0.122796070724029,4.15912944204809,3.83440200580735,3.34406308982711,2.07545413673743
"12",12,15.9331128166975,"Italy-Naples",1,0,0,0,0,0,0,0,0,0,"not male",15.4248162119115,1.50846690745604,-0.130143472735676,4.04925530888553,3.53890784089871,2.0776363420609,2.16028401863428
